,Time,FrontAxis,VerticalAxis,LateralAxis,SensorID,RSSI,Phase,Frequency,Activity
62,40.5,0.7527699999999999,0.73263,0.15736,3,-64.0,0.061359000000000004,922.75,1
63,41.5,0.7527699999999999,0.76708,0.12315,4,-58.0,5.0591,922.25,1
64,41.75,0.7527699999999999,0.76708,0.12315,4,-57.0,6.0976,924.25,1
65,42.5,0.7527699999999999,0.76708,0.12315,3,-64.5,6.0729999999999995,923.75,1
66,44.0,0.72932,0.76708,0.10035,4,-57.0,1.4680000000000002,925.75,1
67,44.25,0.72932,0.76708,0.10035,4,-56.5,6.1605,924.25,1
68,44.75,0.72932,0.76708,0.10035,3,-65.0,1.4097,920.25,1
69,46.0,0.8231200000000001,0.69818,0.14595999999999998,3,-65.5,0.83142,921.75,1
70,46.75,0.8231200000000001,0.69818,0.14595999999999998,4,-57.0,2.8839,924.25,1
71,47.225,0.8231200000000001,0.69818,0.14595999999999998,4,-57.5,4.1694,923.75,1
72,48.0,0.8231200000000001,0.69818,0.14595999999999998,4,-59.5,0.15033,925.25,1
73,48.25,0.8231200000000001,0.69818,0.14595999999999998,4,-63.0,1.4113,920.75,1
74,49.0,0.43618999999999997,0.16995,0.86435,3,-58.5,0.3835,924.25,3
75,93.75,0.43618999999999997,0.16995,0.86435,3,-61.5,5.8491,924.75,3
76,99.25,0.29548,-0.18603,0.95557,3,-61.0,2.3777,925.25,3
77,102.5,0.29548,-0.18603,0.95557,3,-61.0,2.0555,925.75,3
78,105.0,0.29548,-0.18603,0.95557,4,-59.5,3.3947,925.75,3
79,109.75,0.31893,-0.17454,0.9327700000000001,4,-59.0,0.11965,925.75,3
80,113.25,0.38928,-0.24344000000000002,0.9897799999999999,3,-61.5,5.935,924.75,3
81,119.0,0.50654,-0.27789,1.0582,3,-63.5,4.493,921.75,3
82,119.5,0.50654,-0.27789,1.0582,4,-58.0,0.013806,925.75,3
83,122.75,0.35411,-0.22048,0.9441700000000001,4,-58.5,1.1367,924.75,3
84,123.5,0.35411,-0.22048,0.9441700000000001,3,-61.5,5.5545,925.25,3
85,124.98,0.35411,-0.22048,0.9441700000000001,3,-62.0,0.2439,923.75,3
86,129.25,0.37756,-0.20899,0.96698,3,-60.5,5.1803,925.75,3
87,131.5,0.47136000000000006,-0.26641,1.0354,3,-61.0,2.1875,925.75,3
88,132.5,0.47136000000000006,-0.26641,1.0354,4,-59.5,1.0462,924.75,3
89,133.25,0.47136000000000006,-0.26641,1.0354,4,-58.0,3.4929,925.25,3
90,134.25,0.47136000000000006,-0.26641,1.0354,3,-63.5,4.9256,924.25,3
91,134.97,0.47136000000000006,-0.26641,1.0354,3,-59.0,0.44332,923.75,3
92,135.5,0.8231200000000001,0.5029600000000001,0.43103,3,-62.0,0.55837,922.75,1
93,136.25,0.8231200000000001,0.7096600000000001,0.13455999999999999,4,-57.5,1.6061,922.25,1
94,136.5,0.8231200000000001,0.7096600000000001,0.13455999999999999,1,-57.0,1.4573,925.75,1
95,136.75,0.8231200000000001,0.7096600000000001,0.13455999999999999,4,-57.0,5.4917,924.25,1
96,136.8,0.8231200000000001,0.7096600000000001,0.13455999999999999,1,-57.5,0.33287,923.25,1
97,137.0,0.8231200000000001,0.7096600000000001,0.13455999999999999,4,-59.5,2.7596,920.25,1
98,137.25,0.8231200000000001,0.7096600000000001,0.13455999999999999,3,-62.0,4.1218,923.75,1
99,137.75,0.74105,0.73263,0.020525,1,-58.5,5.0698,921.25,1
100,138.5,0.87003,0.66373,0.077541,4,-58.0,1.3714,921.75,1
101,138.75,0.87003,0.66373,0.077541,1,-56.5,1.2441,925.75,1
102,139.0,0.87003,0.66373,0.077541,4,-57.5,3.7046,925.75,1
103,139.08,0.87003,0.66373,0.077541,4,-57.0,5.1312,924.25,1
104,139.75,0.87003,0.66373,0.066138,1,-56.5,6.0715,923.75,1
105,140.0,0.87003,0.66373,0.066138,4,-57.0,4.5912,924.75,1
106,140.25,0.8583,0.6522399999999999,0.077541,1,-57.5,0.67495,922.75,1
107,140.5,0.8583,0.6522399999999999,0.077541,1,-56.0,1.6199,925.25,1
108,140.75,0.8583,0.6522399999999999,0.077541,1,-59.0,5.3045,920.75,1
109,141.25,1.0342,0.60631,0.15736,1,-58.0,4.0773,922.25,1
110,141.5,1.0342,0.60631,0.15736,1,-56.5,1.06,925.75,1
111,141.58,1.0342,0.60631,0.15736,1,-56.5,2.3853,924.25,1
112,142.25,0.83485,0.66373,0.077541,1,-57.0,5.9334,923.75,1
113,142.33,0.83485,0.66373,0.077541,1,-56.5,1.9773,924.75,1
114,142.5,0.83485,0.66373,0.077541,1,-58.5,4.9011,921.25,1
115,142.75,0.83485,0.66373,0.077541,1,-58.0,0.56604,922.75,1
116,143.0,0.83485,0.66373,0.077541,4,-59.5,5.303,920.75,1
117,143.5,0.83485,0.66373,0.077541,4,-58.0,0.9602700000000001,922.25,1
118,144.0,1.0107,0.60631,0.13455999999999999,1,-57.0,5.6589,924.25,1
119,144.25,1.0107,0.60631,0.13455999999999999,1,-61.0,5.6819,920.25,1
120,144.75,1.0107,0.60631,0.13455999999999999,4,-57.0,4.8274,924.75,1
121,145.25,0.9052,0.6522399999999999,0.10035,4,-57.0,4.4884,925.25,1
122,145.5,0.9052,0.6522399999999999,0.10035,4,-57.0,4.6326,925.25,1
123,146.0,0.9052,0.6522399999999999,0.10035,4,-58.0,1.5923,922.25,1
124,146.25,0.9052,0.6522399999999999,0.10035,4,-56.5,4.6618,925.75,1
125,146.5,0.9052,0.6522399999999999,0.10035,4,-57.0,6.1451,924.25,1
126,147.0,0.88175,0.6522399999999999,0.11175,4,-57.5,0.32981,923.75,1
127,147.25,0.88175,0.6522399999999999,0.11175,4,-60.0,5.7248,921.25,1
128,147.75,0.88175,0.6522399999999999,0.11175,4,-56.5,5.2293,925.25,1
129,148.75,0.88175,0.6522399999999999,0.11175,4,-56.5,5.4242,925.75,1
130,149.5,0.79967,0.7096600000000001,0.10035,4,-56.5,1.4404,923.75,1
131,150.0,0.79967,0.7096600000000001,0.10035,1,-67.5,2.3669,922.75,1
132,151.0,0.68242,0.80152,0.043332,1,-66.0,6.2188,922.25,1
133,151.5,0.62379,0.82449,0.031928,1,-63.5,5.461,923.25,1
134,152.25,0.62379,0.82449,0.031928,4,-56.0,1.4404,924.75,1
135,152.5,0.62379,0.82449,0.031928,4,-57.0,0.17640999999999998,922.75,1
136,153.5,0.63552,0.8359700000000001,0.031928,4,-56.5,0.44485,925.75,1
137,153.75,0.63552,0.8359700000000001,0.031928,1,-63.0,4.8336,924.25,1
138,154.23,0.63552,0.8359700000000001,0.031928,1,-64.0,5.171,923.75,1
139,155.0,0.8114,0.76708,0.15736,1,-67.0,2.7458,922.75,1
140,155.75,0.8114,0.76708,0.15736,1,-67.5,6.2387,922.25,1
141,156.25,0.8114,0.76708,0.15736,4,-56.5,1.9313,924.25,1
142,157.0,0.7176,0.79004,0.11175,4,-56.5,1.4189,924.75,1
143,158.0,0.7176,0.79004,0.11175,4,-58.0,0.7378399999999999,922.25,1
144,158.5,0.7176,0.79004,0.11175,1,-61.5,3.3916,925.75,1
145,159.25,0.77622,0.79004,0.10035,4,-57.0,1.3944,924.75,1
146,160.75,0.77622,0.79004,0.10035,4,-57.0,0.48627,925.75,1
147,162.0,0.9052,0.72114,0.21438000000000001,1,-66.5,1.3683,924.75,1
148,162.25,0.9052,0.72114,0.21438000000000001,4,-57.0,0.27612,922.75,1
149,162.5,0.9052,0.72114,0.21438000000000001,4,-56.5,1.06,925.25,1
150,163.0,0.9052,0.72114,0.21438000000000001,4,-57.5,4.1847,922.25,1
151,163.25,0.9052,0.72114,0.21438000000000001,1,-62.0,0.82988,925.75,1
152,166.0,0.92865,0.72114,0.23718000000000003,4,-56.5,0.42031,923.25,1
153,166.5,0.92865,0.72114,0.23718000000000003,1,-66.5,5.5622,923.75,1
154,167.25,0.92865,0.72114,0.23718000000000003,4,-57.5,3.9914,922.75,1
155,167.75,0.92865,0.72114,0.23718000000000003,4,-58.0,1.2164,922.25,1
156,169.25,0.72932,0.80152,0.15736,1,-65.5,4.7584,924.75,1
157,169.75,0.72932,0.80152,0.15736,4,-56.5,1.3729,925.25,1
158,170.5,0.67069,0.81301,0.10035,4,-56.5,0.8651700000000001,925.75,1
159,171.5,0.74105,0.77856,0.15736,1,-67.0,5.6619,923.75,1
160,172.25,0.74105,0.77856,0.15736,4,-59.5,5.7678,920.75,1
161,173.0,0.65897,0.82449,0.11175,1,-68.0,5.145,924.25,1
162,173.5,0.65897,0.82449,0.11175,4,-61.0,6.1237,920.25,1
163,174.25,0.65897,0.82449,0.11175,4,-59.0,5.2278,921.25,1
164,175.0,0.65897,0.82449,0.11175,4,-58.5,4.6924,921.75,1
165,176.5,0.9990100000000001,0.6752100000000001,0.25999,4,-56.0,1.7595,924.75,1
166,176.58,0.9990100000000001,0.6752100000000001,0.25999,4,-59.0,5.1695,921.25,1
167,177.75,0.7176,0.79004,0.14595999999999998,1,-66.5,0.58138,925.75,1
168,179.5,0.70587,0.77856,0.12315,4,-56.5,1.1689,925.25,1
169,180.25,0.70587,0.77856,0.12315,4,-56.5,0.8912399999999999,925.75,1
170,180.75,0.70587,0.77856,0.12315,4,-58.0,0.24236999999999997,923.25,1
171,181.25,0.70587,0.77856,0.12315,1,-65.5,4.7538,924.75,1
172,183.0,0.69414,0.80152,0.10035,1,-67.0,2.0877,924.25,1
173,183.75,0.69414,0.80152,0.10035,4,-56.5,1.8546,924.75,1
174,184.25,0.69414,0.80152,0.10035,1,-65.0,1.1075,925.25,1
175,186.25,0.69414,0.76708,0.12315,1,-67.5,1.5386,924.75,1
176,187.75,0.79967,0.75559,0.16876,4,-56.5,0.76852,925.75,1
177,187.83,0.79967,0.75559,0.16876,4,-56.5,2.327,924.25,1
178,189.25,0.8114,0.74411,0.18017,4,-56.5,1.3637,925.25,1
179,190.0,0.8114,0.74411,0.18017,4,-56.5,0.7808,925.75,1
180,190.5,0.8114,0.74411,0.18017,4,-57.0,3.3287,923.25,1
181,193.0,0.61207,0.75559,0.0091224,4,-56.5,6.0914,923.25,1
182,194.0,0.78795,0.72114,0.13455999999999999,4,-57.0,6.2004,925.25,1
183,198.75,0.24858000000000002,1.146,-0.059296,2,-58.5,0.16567,922.75,4
184,200.75,0.24858000000000002,1.146,-0.059296,2,-59.0,3.6018,923.75,4
185,202.0,0.24858000000000002,1.146,-0.059296,2,-58.5,4.5452,922.25,4
186,203.0,0.24858000000000002,1.146,-0.059296,2,-58.0,0.52155,923.75,4
187,204.0,0.24858000000000002,1.146,-0.059296,2,-59.5,4.7691,920.75,4
188,208.0,0.96383,0.6522399999999999,0.18017,2,-56.0,3.4238,924.75,2
189,213.5,0.96383,0.6522399999999999,0.18017,2,-58.0,0.018408,925.25,2
190,214.5,0.96383,0.6522399999999999,0.18017,2,-57.5,0.013806,925.75,2
191,217.0,0.78795,0.72114,0.15736,2,-59.5,0.8145399999999999,924.25,2
192,225.0,0.78795,0.72114,0.15736,2,-58.5,0.32981,924.75,2
193,227.5,0.78795,0.72114,0.15736,2,-58.5,3.3103,924.75,2
194,228.25,0.78795,0.72114,0.15736,2,-57.5,6.2034,925.25,2
195,230.5,1.0225,0.6292800000000001,0.2828,2,-59.0,0.17794000000000001,925.25,2
196,231.5,1.0225,0.6292800000000001,0.2828,2,-58.0,3.6248,924.25,2
197,232.75,1.0225,0.6292800000000001,0.2828,2,-57.0,4.3611,922.75,2
198,236.5,1.0225,0.6292800000000001,0.2828,2,-57.0,0.12579,924.25,2
199,239.0,1.0225,0.6292800000000001,0.2828,2,-57.5,0.43872,923.25,2
200,240.0,1.0694,0.61779,0.24859,2,-57.5,4.4777,921.25,2
201,240.25,1.0694,0.61779,0.24859,2,-56.0,5.8199,925.25,2
202,240.5,1.0694,0.61779,0.24859,2,-57.5,4.8136,920.75,2
203,242.75,1.0694,0.61779,0.24859,2,-58.0,6.0408,925.25,2
204,247.5,0.8231200000000001,0.74411,0.08894400000000001,2,-58.0,4.0221,922.75,2
205,248.75,0.8231200000000001,0.74411,0.08894400000000001,2,-58.5,3.5864,924.25,2
206,249.75,0.8231200000000001,0.74411,0.08894400000000001,2,-58.0,4.9164,921.25,2
207,251.0,0.83485,0.7096600000000001,0.14595999999999998,2,-56.0,6.1421,924.25,2
208,251.75,0.83485,0.7096600000000001,0.14595999999999998,2,-58.0,3.7230000000000003,923.75,2
209,253.25,0.83485,0.7096600000000001,0.14595999999999998,2,-58.0,0.33287,925.75,2
210,254.5,0.83485,0.7096600000000001,0.14595999999999998,2,-58.0,0.50161,924.75,2
211,401.25,0.50654,0.81301,0.13455999999999999,2,-47.5,5.125,925.25,4
212,401.5,0.7645,0.79004,0.16876,2,-49.0,5.3521,921.75,4
213,401.58,0.51826,0.8589399999999999,0.10035,2,-48.5,3.7675,921.75,4
214,401.6,0.51826,0.8589399999999999,0.10035,2,-48.0,4.019,921.75,4
215,401.75,0.68242,0.96229,-0.025087,2,-47.5,4.8719,922.25,4
216,401.85,0.33066,0.80152,-0.15052000000000001,2,-48.5,5.3613,922.25,4
217,401.88,0.33066,0.80152,-0.15052000000000001,2,-45.5,3.9301,925.75,4
218,402.0,0.54171,0.95081,-0.059296,2,-46.5,4.7032,925.75,4
219,402.1,0.41273000000000004,0.80152,-0.013684,2,-47.5,5.395,925.75,4
220,402.13,0.41273000000000004,0.80152,-0.013684,2,-49.5,0.23623000000000002,924.25,4
221,405.75,0.5534399999999999,0.97377,-0.082102,4,-58.5,0.27151,922.75,3
222,406.0,0.5534399999999999,0.97377,-0.082102,3,-55.5,1.4880000000000002,925.25,3
223,480.5,0.42446000000000006,-0.27789,1.0696,3,-66.0,4.0881,920.25,3
224,481.0,0.42446000000000006,-0.27789,1.0696,4,-57.0,4.4654,924.75,3
225,482.25,0.49481,-0.31234,1.1038,4,-57.5,0.1534,925.75,3
226,482.75,0.49481,-0.31234,1.1038,4,-59.0,5.8368,923.25,3
227,484.25,0.49481,-0.31234,1.1038,4,-59.5,1.0907,921.75,3
228,485.5,0.45963999999999994,-0.27789,1.0468,3,-62.5,2.2457,923.75,3
229,486.0,0.45963999999999994,-0.27789,1.0468,4,-58.5,6.2433,922.75,3
230,486.75,0.45963999999999994,-0.27789,1.0468,3,-62.5,0.33748,921.75,3
231,487.5,0.22513000000000002,-0.15158,0.90996,4,-57.0,4.8198,924.25,3
232,488.5,0.23685,-0.16305999999999998,0.9213600000000001,3,-62.0,6.1681,922.75,3
233,489.25,0.23685,-0.16305999999999998,0.9213600000000001,3,-62.5,3.3287,922.25,3
234,489.75,0.23685,-0.16305999999999998,0.9213600000000001,3,-61.0,2.1077,924.25,3
235,490.25,0.23685,-0.16305999999999998,0.9213600000000001,3,-61.0,5.5361,923.75,3
236,491.0,0.23685,-0.16305999999999998,0.9213600000000001,4,-59.5,6.2188,922.75,3
237,492.25,0.31893,-0.23196,0.9783799999999999,4,-58.0,4.7768,924.25,3
238,492.75,0.31893,-0.23196,0.9783799999999999,3,-62.5,5.5377,923.75,3
239,493.5,0.31893,-0.23196,0.9783799999999999,4,-58.0,3.8641,925.25,3
240,494.25,0.31893,-0.23196,0.9783799999999999,3,-63.0,0.093573,922.25,3
241,494.75,0.31893,-0.23196,0.9783799999999999,4,-58.0,4.8121,924.25,3
242,495.75,0.35411,-0.25493000000000005,0.9897799999999999,4,-58.5,6.1681,922.75,3
243,496.5,0.35411,-0.25493000000000005,0.9897799999999999,3,-63.0,0.053689,922.25,3
244,497.0,0.35411,-0.25493000000000005,0.9897799999999999,4,-57.5,4.7385,924.25,3
245,497.75,0.35411,-0.25493000000000005,0.9897799999999999,3,-61.5,1.85,924.75,3
246,499.25,0.31893,-0.23196,0.9783799999999999,4,-57.5,0.14265999999999998,925.75,3
247,499.5,0.31893,-0.23196,0.9783799999999999,3,-62.0,2.6661,923.25,3
248,500.25,0.31893,-0.23196,0.9783799999999999,4,-57.5,5.2324,923.75,3
249,500.35,0.31893,-0.23196,0.9783799999999999,4,-57.5,4.2997,924.75,3
250,500.75,0.31893,-0.23196,0.9783799999999999,4,-58.5,6.1804,922.75,3
251,501.75,0.37756,-0.24344000000000002,1.0012,4,-57.5,0.14265999999999998,925.75,3
252,502.0,0.37756,-0.24344000000000002,1.0012,4,-58.0,5.6911,923.25,3
253,502.75,0.37756,-0.24344000000000002,1.0012,4,-57.5,4.3044,924.75,3
254,503.25,0.37756,-0.24344000000000002,1.0012,3,-61.5,1.5892,925.25,3
255,504.25,0.28376,-0.20899,0.95557,4,-57.5,4.7461,924.25,3
256,505.0,0.28376,-0.20899,0.95557,3,-62.0,2.3945,923.75,3
257,505.5,0.28376,-0.20899,0.95557,3,-63.5,3.7705,921.25,3
258,505.75,0.28376,-0.20899,0.95557,3,-61.5,1.5723,925.25,3
259,507.25,0.24858000000000002,-0.16305999999999998,0.9213600000000001,4,-58.0,5.1726,923.75,3
260,508.0,0.24858000000000002,-0.16305999999999998,0.9213600000000001,4,-58.5,6.2464,922.75,3
261,508.5,0.24858000000000002,-0.16305999999999998,0.9213600000000001,4,-59.0,0.90812,921.75,3
262,509.25,0.2603,-0.17454,0.9327700000000001,3,-61.0,2.0954,924.25,3
263,509.75,0.2603,-0.17454,0.9327700000000001,3,-61.5,2.3823,923.75,3
264,510.5,0.2603,-0.17454,0.9327700000000001,3,-62.5,6.1037,922.75,3
265,512.25,0.37756,-0.24344000000000002,1.0012,4,-57.5,5.2109,923.75,3
266,512.75,0.37756,-0.24344000000000002,1.0012,4,-59.0,1.3131,921.25,3
267,513.0,0.37756,-0.24344000000000002,1.0012,3,-61.0,1.5539,925.25,3
268,514.25,0.37756,-0.24344000000000002,0.9783799999999999,4,-56.5,4.7722,924.25,3
269,514.75,0.37756,-0.24344000000000002,0.9783799999999999,4,-57.5,5.2048,923.75,3
270,515.25,0.37756,-0.24344000000000002,0.9783799999999999,4,-59.0,1.307,921.25,3
271,515.5,0.37756,-0.24344000000000002,0.9783799999999999,4,-57.5,0.59518,925.25,3
272,516.5,0.37756,-0.24344000000000002,1.0012,4,-57.0,4.7461,924.25,3
273,516.75,0.37756,-0.24344000000000002,1.0012,4,-58.0,5.6757,923.25,3
274,517.5,0.37756,-0.24344000000000002,1.0012,4,-57.5,4.3166,924.75,3
275,518.0,0.37756,-0.24344000000000002,1.0012,4,-57.0,3.7843,925.25,3
276,518.75,0.49481,-0.31234,1.0468,4,-57.5,0.07976699999999999,925.75,3
277,519.25,0.49481,-0.31234,1.0468,3,-62.0,5.8123,923.25,3
278,519.75,0.49481,-0.31234,1.0468,4,-58.0,4.1878,924.75,3
279,521.0,0.29548,-0.19751,0.9327700000000001,3,-63.5,1.4097,925.75,3
280,522.0,0.29548,-0.19751,0.9327700000000001,4,-58.5,5.1925,923.75,3
281,522.75,0.29548,-0.19751,0.9327700000000001,4,-57.5,0.5092800000000001,925.25,3
282,523.5,0.29548,-0.19751,0.9327700000000001,4,-57.0,6.0838,925.75,3
283,524.0,0.29548,-0.19751,0.9327700000000001,4,-57.0,4.4946,924.25,3
284,524.5,0.40101,-0.23196,0.9897799999999999,4,-57.0,3.9761,924.75,3
285,525.25,0.40101,-0.23196,0.9897799999999999,3,-60.5,1.5539,925.25,3
286,526.25,0.33066,-0.20899,0.9441700000000001,4,-57.5,4.4501,924.25,3
287,527.0,0.33066,-0.20899,0.9441700000000001,4,-57.5,4.8919,923.75,3
288,527.5,0.33066,-0.20899,0.9441700000000001,3,-61.5,6.1727,922.75,3
289,528.25,0.29548,-0.20899,0.9441700000000001,4,-58.5,0.064427,922.25,3
290,528.75,0.29548,-0.20899,0.9441700000000001,4,-57.5,4.4639,924.25,3
291,529.25,0.29548,-0.20899,0.9441700000000001,4,-59.5,1.8899,920.25,3
292,529.5,0.29548,-0.20899,0.9441700000000001,4,-57.5,3.9301,924.75,3
293,529.75,0.29548,-0.20899,0.9441700000000001,3,-62.0,0.0061359,922.75,3
294,531.0,0.42446000000000006,-0.26641,0.96698,4,-57.5,6.0025,925.75,3
295,531.08,0.42446000000000006,-0.26641,0.96698,3,-61.5,5.441,924.25,3
296,532.0,0.42446000000000006,-0.26641,0.96698,4,-57.5,3.9439,924.75,3
297,533.25,0.34238,-0.23196,0.95557,3,-60.0,1.3545,925.75,3
298,533.75,0.49481,-0.32383,1.0582,4,-58.0,5.4963,923.25,3
299,534.5,0.49481,-0.32383,1.0582,4,-57.0,3.9577,924.75,3
300,534.75,0.49481,-0.32383,1.0582,4,-58.0,5.8767,922.75,3
301,535.0,0.49481,-0.32383,1.0582,4,-57.0,0.3068,925.25,3
302,535.75,0.40101,-0.27789,0.9897799999999999,4,-57.0,6.0562,925.75,3
303,536.25,0.40101,-0.27789,0.9897799999999999,4,-57.0,5.3751,923.25,3
304,536.33,0.40101,-0.27789,0.9897799999999999,4,-59.0,1.8945,920.25,3
305,536.75,0.40101,-0.27789,0.9897799999999999,3,-59.5,1.8715,924.75,3
306,537.25,0.31893,-0.22048,0.9441700000000001,4,-57.5,5.8521,922.75,3
307,537.5,0.31893,-0.22048,0.9441700000000001,4,-57.0,0.3114,925.25,3
308,538.0,0.31893,-0.22048,0.9441700000000001,4,-58.5,0.059825,922.25,3
309,538.25,0.31893,-0.22048,0.9441700000000001,4,-57.0,6.0715,925.75,3
310,539.0,0.31893,-0.22048,0.9441700000000001,3,-62.5,4.4025,920.25,3
311,539.75,0.36583000000000004,-0.27789,0.9897799999999999,4,-57.0,0.35281999999999997,925.25,3
312,540.25,0.36583000000000004,-0.27789,0.9897799999999999,4,-59.0,0.5614399999999999,921.75,3
313,540.75,0.36583000000000004,-0.27789,0.9897799999999999,4,-57.0,6.093,925.75,3
314,541.0,0.36583000000000004,-0.27789,0.9897799999999999,4,-57.5,5.4196,923.25,3
315,541.75,0.36583000000000004,-0.25493000000000005,0.95557,3,-61.5,3.9024,921.25,3
316,542.0,0.36583000000000004,-0.25493000000000005,0.95557,3,-60.5,6.2034,922.75,3
317,543.25,0.37756,-0.25493000000000005,0.95557,4,-56.5,4.4378,924.25,3
318,543.5,0.37756,-0.25493000000000005,0.95557,4,-57.0,5.3429,923.25,3
319,544.0,0.37756,-0.25493000000000005,0.95557,4,-57.0,3.9454,924.75,3
320,544.75,0.37756,-0.25493000000000005,0.9783799999999999,4,-57.0,0.27918000000000004,925.25,3
321,545.25,0.37756,-0.25493000000000005,0.9783799999999999,4,-59.0,0.51695,921.75,3
